date (UTC),description,moneyIn (BTC),moneyOut (BTC),tx hash,current balance (BTC)
11/2/20 21:20,PAYMENT RECEIVED,1219.804519,0,b9b83ecf42ea26142cc66f276bbc5301bfd7b43fe7fbdb5f6b5c190e121e4a6c,93285.01723
11/2/20 7:21,PAYMENT RECEIVED,28.84837274,0,129e16d2cbea2d2482aff7f56e43686abff582830bab580475c7652720d42458,92065.21271
11/2/20 7:21,PAYMENT RECEIVED,2000,0,d71a29f1eba91005a7946a2844bdd2da3a1ad4748c11c24220b36bc864552762,92036.36434
11/2/20 6:28,PAYMENT RECEIVED,1614.471634,0,05058839211c0d231e43ef0c54c2c386758e665b14b0cf3e971b00530cb29c5e,90036.36434
11/2/20 5:25,PAYMENT RECEIVED,5.70E-06,0,8aaa8ce840e8fb46d1131fd2375d8e4259631d1cbbcbece398a7d3d41a456143,88421.89271
7/2/20 6:46,PAYMENT RECEIVED,1464.046774,0,3363b5157aeedf68400b0f5c177ae84ee41f1096f70939b9b1c0e3416e548ea7,88421.8927
7/2/20 1:02,PAYMENT RECEIVED,1572.004298,0,2eca59d4cd467c6db40214ff306999df296d8f95745c30e4859a56b9fc1e69fe,86957.84593
6/2/20 12:41,PAYMENT RECEIVED,1228.470521,0,4f55f7a9553b839a4929c009c67ac636222cc8a8836c9fbb855c4b47d36b4213,85385.84163
5/2/20 14:59,PAYMENT RECEIVED,1066.637858,0,10fddc214ad54cc2aedab8330dd409ecd84037043f62ef1e2b6641ef4459e1fa,84157.37111
3/2/20 18:13,PAYMENT RECEIVED,1175.799152,0,59d691067188eddb4b961f7032116d78e5a2f06055fd3261c56c9add2a4e35e5,83090.73325
2/2/20 9:47,PAYMENT RECEIVED,1020.973361,0,654ef1950380186c0055fb355d398d13c3498c04812791965223c0117c7054ff,81914.9341
30/1/20 23:31,PAYMENT RECEIVED,5.52E-06,0,3d610587695f02e2ffc1e94b05e171d74620848226cd68bf5d88a81919fd8185,80893.96074
28/1/20 12:28,PAYMENT RECEIVED,1199.797511,0,afd460e0cff78ee6df0d50f72331159aba0e46af703320bbd90a3771203222e5,80893.96073
14/1/20 22:27,PAYMENT RECEIVED,2000,0,a070d1f5d671777fb28bed2b172c83ae02bbc6e37492b695621f00d4761818c7,79694.16322
14/1/20 22:27,PAYMENT RECEIVED,44.94174011,0,ca62db650ae137d75154276a6d53d89274e21d508375f7684d60f5e9f32f9e93,77694.16322
14/1/20 20:26,PAYMENT RECEIVED,140.4730419,0,52246cc57c81e0bfc70024b32ffb8986589262079d0aa73b23476ff831279ac0,77649.22148
14/1/20 20:26,PAYMENT RECEIVED,2000,0,b153f1f6ae0ec4c017d93c7ef31b2a16ec48afe26f180c861b18946093771103,77508.74844
7/1/20 0:14,PAYMENT RECEIVED,1224.999385,0,1ed9cf5d3c85717a89c58a3dd346a93ccb020974d7df686bd70300e2d8cfc295,75508.74844
6/1/20 9:03,PAYMENT RECEIVED,1022.316322,0,185bbabe4c62dd6547c72069742e27ae466efea9ae42ba33b75e92c1cfd9cf84,74283.74905
5/1/20 5:12,PAYMENT RECEIVED,1372.808084,0,64c93ab344d1be63121eeaaa595e0436430b833aecf6110ee3a2ac43624770dd,73261.43273
3/1/20 0:11,PAYMENT RECEIVED,1101.620608,0,cfa4e22654473e7e8824a63701bc199e6ef88fbd0cb2fe959e0be9880939358d,71888.62465
29/12/19 16:44,PAYMENT RECEIVED,1268.895887,0,ca81b87d7ffb9f55b91dc16a10e1ede0850c15ea3ea762c6e768cfb25b72bedc,70787.00404
25/12/19 11:01,PAYMENT SENT,0,-13349.6474,8e424276a59a93afaaf6e7883af737656b1dffae5d5c1f15bbb679cba8b162ba,69518.10815
23/12/19 6:30,PAYMENT RECEIVED,1432.822872,0,fcd0dca7e77fc9ba775fcbd2868d52cda78be10c68fa9fbf3d0914833e75bf58,82867.75556
23/12/19 2:27,PAYMENT RECEIVED,1959.790769,0,678f60235dc2f7e31c883c151efbe1f0cef427b7e4198578f81dc3308a63d6de,81434.93268
19/12/19 2:51,PAYMENT RECEIVED,1797.755015,0,85f1e6fa1937821d6e0205015c8e05a9e7542a42b1c47ae5dadd46263c858d3c,79475.14192
18/12/19 22:59,PAYMENT RECEIVED,1105.507044,0,a3eb3d659be8e4f8436e16a6713b083f68c8bbd796dd06cf55b237e1279a2dc7,77677.3869
18/12/19 22:36,PAYMENT RECEIVED,1248.654504,0,6d1e3ed97b16fa360e53f681f16edd731ae0825426c00098477afc7f2a642b42,76571.87986
13/12/19 20:48,PAYMENT RECEIVED,1751.098827,0,1f69cb4d6a25a37fde84a4529c1d20b704a4abbc28c4e87e77f8a651a545f975,75323.22535
10/12/19 4:38,PAYMENT RECEIVED,1501.162746,0,13f62d46faaa14dbf68e3c6ecdd30f6e6cc9a481ecaf6f7e56b4a7ccdb47747e,73572.12653
7/12/19 16:30,PAYMENT RECEIVED,1244.206043,0,5f9a8b1413e2202b3df01cd3aec0f72d7a8a19ebbd7c69daa2e3ad4fade63deb,72070.96378
6/12/19 22:30,PAYMENT RECEIVED,1308.63443,0,2a5face482e9572219e4feaa6067bf2536320347db994d925bc6050e571607b9,70826.75774
6/12/19 15:27,PAYMENT RECEIVED,0.0011,0,15d06755f55e92ecf5c61efae4f4f29cb4b6d21f138aa3e6dad147187b806cfd,69518.12331
6/12/19 15:27,PAYMENT RECEIVED,0.00111,0,071ce01aab0e7c75ee35dd6a929346f2ae8befa0a208848793ddab3408c2a4e1,69518.12221
6/12/19 15:27,PAYMENT RECEIVED,0.001,0,1730bc4bf1daa20d7c0b3f25101150036f6fe810cb72eda30e3cd008fd311617,69518.1211
3/12/19 15:46,PAYMENT SENT,0,-21055.58774,52af1ed9a3c0f17d45163d95f18f8ee20b6b5b916a6841467cdd9e98e41c3b7f,69518.1201
25/11/19 12:03,PAYMENT RECEIVED,2000,0,7510989cda5650b505442de03cb8b3d1f99e73e31f224862d9d9c00d4dc7d84a,90573.70783
25/11/19 12:03,PAYMENT RECEIVED,280.6941438,0,18aca20692da0a4096c103942ffa6367785584e306f732d12769b29067a77f7a,88573.70783
25/11/19 12:03,PAYMENT RECEIVED,2000,0,925fb976e31a78f39a901ff7d235fb5630cbeca23fcac5237326f81fc82d97f2,88293.01369
24/11/19 8:24,PAYMENT RECEIVED,1422.199307,0,b6c7270ec1c4daee398e22cc5b13684a028db14470b88bb3d59de4371c84e869,86293.01369
23/11/19 2:31,PAYMENT RECEIVED,1006.228418,0,12383f8f1e066499049f519e3de327990863f355ed971ee65708ee40e6a96138,84870.81438
22/11/19 18:28,PAYMENT RECEIVED,1790.704671,0,cdee43608418eaf5c483b34123056237d4b349482aefb6afd8602ae07413fd1e,83864.58597
22/11/19 14:30,PAYMENT RECEIVED,1736.269651,0,2680253d28ff920c2819ee27cd5d30205244a5a1c6bc16e4c77951fdb626637d,82073.88129
22/11/19 6:28,PAYMENT RECEIVED,1991.034144,0,6989a62c60cf7b81bf12eff395f0f7d7b36d84af3d3eb79759a6828fe1bc19ba,80337.61164
20/11/19 10:21,PAYMENT RECEIVED,1030.423436,0,714766b591a13670e8e6ef70359180746cb7216548d0593e624c4e278370e968,78346.5775
19/11/19 2:59,PAYMENT RECEIVED,1720.663402,0,613a7f6c202b4a3f681d3db9eb3ad259410de1661633cfda47b3be09d6079b9e,77316.15406
16/11/19 14:11,PAYMENT RECEIVED,1.18E-05,0,1f189d12fdd7d5befa4e7bc006932e55975e54379749c293ced0063f36bb4a33,75595.49066
16/11/19 14:11,PAYMENT RECEIVED,1.18E-05,0,4c4a36f1cce513564325a32f5747ba3027e5cbc06eb6db60d2d6456e3631b06f,75595.49065
16/11/19 14:11,PAYMENT RECEIVED,1.18E-05,0,1aa346909260309d43c7eb190abbb51a3f5532fd2ca431862450afc493fe2233,75595.49064
16/11/19 14:11,PAYMENT RECEIVED,1.18E-05,0,fc2d7693fecd02950242bcf9d9b12cec6efb96f7e3cd1dde4eaebdce9a1f15aa,75595.49063
1/11/19 19:19,PAYMENT RECEIVED,0.000121,0,7e33184c7219a892e89d38e22f7fe5fb421c657ce6f93f54b710e579aea96c97,179842.4507
5/11/19 10:25,PAYMENT SENT,0,-110572.3062,e6f40ba0bf83b67482c0ecae8b75b313e00f7d93979490af794bd89babdc7c7b,69270.14446
7/11/19 22:24,PAYMENT RECEIVED,1189.735002,0,fdc8812cf3395b6e98b72f604abb711938115b7297c5956327f8bff93bd78cab,70459.87946
